id,trade_date,setup_type,fired_at,actual_pnl,prior_id,prior_resolved_at
103065,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:17:14.445Z,-10.5,103061,2026-08-21T20:15:00.000Z
103068,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:19:31.939Z,-5.5,103065,2026-08-21T20:18:00.000Z
103071,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:21:38.112Z,-12,103068,2026-08-21T20:20:00.000Z
103078,2026-08-21,CAM_R3_FADE_LONG,2026-08-21T20:26:41.236Z,0,103074,2026-08-21T20:24:00.000Z
103089,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:34:12.671Z,4.5,103085,2026-08-21T20:32:00.000Z
103093,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:37:14.193Z,1,103089,2026-08-21T20:35:00.000Z
103097,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:40:15.057Z,-1.5,103093,2026-08-21T20:38:00.000Z
103100,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:42:33.412Z,4,103097,2026-08-21T20:41:00.000Z
103103,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:44:57.360Z,-3,103100,2026-08-21T20:43:00.000Z
103106,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:47:30.655Z,-22,103103,2026-08-21T20:45:00.000Z
103110,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:50:28.999Z,1.5,103106,2026-08-21T20:48:00.000Z
103113,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:52:46.407Z,2,103110,2026-08-21T20:51:00.000Z
103117,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:55:45.485Z,-1.5,103113,2026-08-21T20:53:00.000Z
103120,2026-08-21,PD_IB_MID_FADE_LONG,2026-08-21T20:58:09.036Z,-6.5,103117,2026-08-21T20:56:00.000Z
103292,2026-08-24,BRACKET_BREAKOUT_SHORT,2026-08-24T14:42:00.000Z,74,103236,2026-08-24T14:41:00.000Z
103628,2026-08-24,PW_LOW_FADE_SHORT,2026-08-24T17:08:27.457Z,72,103570,2026-08-24T17:02:00.000Z
103651,2026-08-24,OR5_MID_FADE_SHORT,2026-08-24T17:28:08.717Z,-76,103613,2026-08-24T17:23:00.000Z
103719,2026-08-24,PW_LOW_FADE_SHORT,2026-08-24T18:26:01.085Z,72,103709,2026-08-24T18:24:00.000Z
103737,2026-08-24,PW_LOW_FADE_LONG,2026-08-24T18:42:40.885Z,-66,103727,2026-08-24T18:39:00.000Z
103825,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:00:16.776Z,6,103805,2026-08-24T20:00:01.245Z
103828,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:02:22.510Z,5.5,103825,2026-08-24T20:01:00.000Z
103831,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:04:38.431Z,8.5,103828,2026-08-24T20:03:00.000Z
103835,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:07:14.992Z,5,103831,2026-08-24T20:05:00.000Z
103839,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:10:57.702Z,-13,103835,2026-08-24T20:08:00.000Z
103843,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:13:55.218Z,-1.5,103839,2026-08-24T20:11:00.000Z
103846,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:16:00.249Z,-2.5,103843,2026-08-24T20:14:00.000Z
103850,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:18:57.128Z,5,103846,2026-08-24T20:17:00.000Z
103853,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:21:27.506Z,-36,103850,2026-08-24T20:19:00.000Z
103866,2026-08-24,OPEN_DRIVE_SHORT,2026-08-24T20:26:00.000Z,-2,103862,2026-08-24T20:25:00.000Z
103916,2026-08-24,FLOOR_S2_FADE_LONG,2026-08-24T20:39:28.469Z,9,103907,2026-08-24T20:37:00.000Z
103922,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:42:26.044Z,2,103919,2026-08-24T20:41:00.000Z
103925,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:44:31.976Z,-2,103922,2026-08-24T20:43:00.000Z
103928,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:47:01.757Z,5.5,103925,2026-08-24T20:45:00.000Z
103932,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:50:00.374Z,-20.5,103928,2026-08-24T20:48:00.000Z
103940,2026-08-24,FLOOR_S2_FADE_LONG,2026-08-24T20:54:36.187Z,27.5,103934,2026-08-24T20:52:00.000Z
103948,2026-08-24,3M_VAL_FADE_LONG,2026-08-24T20:59:11.888Z,40.5,103945,2026-08-24T20:57:00.000Z
104016,2026-08-25,PW_VAL_FADE_LONG,2026-08-25T14:16:29.088Z,-66,103996,2026-08-25T14:14:00.000Z
104380,2026-08-25,GLOBEX_VWAP_FADE_SHORT,2026-08-25T15:34:00.000Z,90,104336,2026-08-25T15:33:00.000Z
105485,2026-08-25,GLOBEX_VWAP_FADE_LONG,2026-08-25T18:50:00.000Z,-86,105398,2026-08-25T18:48:00.000Z
105903,2026-08-25,FAILED_SWEEP_REVERSAL_LONG,2026-08-25T20:10:00.000Z,-8,105900,2026-08-25T20:09:00.000Z
105904,2026-08-25,FAILED_AUCTION_LONG,2026-08-25T20:10:00.000Z,-8,105901,2026-08-25T20:09:00.000Z
105999,2026-08-25,FAILED_AUCTION_LONG,2026-08-25T20:34:00.000Z,-6,105993,2026-08-25T20:33:00.000Z
105998,2026-08-25,FAILED_SWEEP_REVERSAL_LONG,2026-08-25T20:34:00.000Z,-6,105992,2026-08-25T20:33:00.000Z
106043,2026-08-25,FAILED_SWEEP_REVERSAL_LONG,2026-08-25T20:46:00.000Z,-10,106040,2026-08-25T20:45:00.000Z
106044,2026-08-25,FAILED_AUCTION_LONG,2026-08-25T20:46:00.000Z,-11,106041,2026-08-25T20:45:00.000Z
106116,2026-08-26,PD_VAL_FADE_LONG,2026-08-26T00:02:23.935Z,-76,106113,2026-08-26T00:00:00.000Z
106127,2026-08-26,PD_VAL_FADE_LONG,2026-08-26T03:18:51.775Z,78,106123,2026-08-26T03:14:00.000Z
106129,2026-08-26,PD_POC_FADE_SHORT,2026-08-26T04:46:58.102Z,58,106126,2026-08-26T03:51:00.000Z
106132,2026-08-26,PD_POC_FADE_LONG,2026-08-26T06:05:20.422Z,74,106131,2026-08-26T05:32:00.000Z
106135,2026-08-26,PD_POC_FADE_SHORT,2026-08-26T06:35:53.589Z,-86,106129,2026-08-26T06:16:00.000Z
106137,2026-08-26,PD_POC_FADE_SHORT,2026-08-26T06:54:24.543Z,58,106135,2026-08-26T06:48:00.000Z
106142,2026-08-26,PD_POC_FADE_SHORT,2026-08-26T07:14:51.548Z,58,106137,2026-08-26T07:11:00.000Z
106151,2026-08-26,PD_POC_FADE_SHORT,2026-08-26T10:35:23.899Z,-86,106149,2026-08-26T10:14:00.000Z
106153,2026-08-26,PD_POC_FADE_SHORT,2026-08-26T11:37:21.749Z,58,106151,2026-08-26T11:18:00.000Z
106568,2026-08-26,PW_VAL_FADE_SHORT,2026-08-26T17:48:31.247Z,-76,106522,2026-08-26T17:38:00.000Z
106611,2026-08-26,PW_VAL_FADE_LONG,2026-08-26T18:13:23.202Z,74,106529,2026-08-26T18:09:00.000Z
106691,2026-08-26,IB_HIGH_FADE_SHORT,2026-08-26T19:01:52.735Z,-46,106671,2026-08-26T19:00:00.000Z
