swing_width,type,pivot_date,pivot_session,z_score,vol_bucket,confluence_count,confluence_bucket,retest_date,retest_session,break_win1_mean,break_win1_mean_bucket,break_win1_max,break_win1_max_bucket,break_win2_mean,break_win2_mean_bucket,break_win2_max,break_win2_max_bucket,break_win3_mean,break_win3_mean_bucket,break_win3_max,break_win3_max_bucket,break_win4_mean,break_win4_mean_bucket,break_win4_max,break_win4_max_bucket,break_win6_mean,break_win6_mean_bucket,break_win6_max,break_win6_max_bucket,rxn_3,rxn_6,rxn_12,rxn_24
5,LOW,2026-07-15,GLOBEX,-1.3304,NORMAL_LOW,0,0,2026-07-15,RTH,0.2645,HIGH,0.2645,HIGH,-0.7167,NORMAL_LOW,0.2645,NORMAL_LOW,-0.8461,NORMAL_LOW,0.2645,NORMAL_LOW,-0.7472,NORMAL_LOW,0.2645,NORMAL_LOW,-1.0036,NORMAL_LOW,0.2645,NORMAL_LOW,-168.2500,-108.7500,-263.5000,-318.5000
5,LOW,2025-11-13,RTH,-1.3302,NORMAL_LOW,1,1,2025-11-13,RTH,-1.2464,NORMAL_LOW,-1.2464,NORMAL_LOW,-1.1664,NORMAL_LOW,-1.0864,NORMAL_LOW,-1.3290,NORMAL_LOW,-1.0864,NORMAL_LOW,-1.5106,NORMAL_LOW,-1.0864,NORMAL_LOW,-1.3942,NORMAL_LOW,-1.0864,NORMAL_LOW,89.0000,80.0000,88.7500,89.7500
5,HIGH,2025-09-10,RTH,-1.3296,NORMAL_LOW,1,1,2025-09-10,RTH,-1.1539,NORMAL_LOW,-1.1539,NORMAL_LOW,-0.9751,NORMAL_LOW,-0.7962,NORMAL_LOW,-1.1747,NORMAL_LOW,-0.7962,NORMAL_LOW,-1.1962,NORMAL_LOW,-0.7962,NORMAL_LOW,-1.3057,NORMAL_LOW,-0.7962,NORMAL_LOW,-9.2500,0.2500,9.7500,-22.2500
5,HIGH,2026-05-25,GLOBEX,-1.3294,NORMAL_LOW,2,2+,2026-05-25,RTH,-2.1221,NORMAL_LOW,-2.1221,NORMAL_LOW,-1.3224,NORMAL_LOW,-0.5228,NORMAL_LOW,-1.4973,NORMAL_LOW,-0.5228,NORMAL_LOW,-1.6353,NORMAL_LOW,-0.5228,NORMAL_LOW,-1.8524,NORMAL_LOW,-0.5228,NORMAL_LOW,-26.7500,-30.7500,23.2500,15.7500
5,LOW,2025-11-17,RTH,-1.3281,NORMAL_LOW,4,2+,2025-11-17,RTH,-0.6785,NORMAL_LOW,-0.6785,NORMAL_LOW,-0.9499,NORMAL_LOW,-0.6785,NORMAL_LOW,-1.1295,NORMAL_LOW,-0.6785,NORMAL_LOW,-1.0978,NORMAL_LOW,-0.6785,NORMAL_LOW,-1.0148,NORMAL_LOW,-0.6785,NORMAL_LOW,80.2500,146.7500,175.7500,-6.7500
5,HIGH,2025-09-04,GLOBEX,-1.3279,NORMAL_LOW,0,0,2025-09-05,RTH,-1.1360,NORMAL_LOW,-1.1360,NORMAL_LOW,-1.1131,NORMAL_LOW,-1.0901,NORMAL_LOW,-1.0311,NORMAL_LOW,-0.8671,NORMAL_LOW,-1.0785,NORMAL_LOW,-0.8671,NORMAL_LOW,-1.0339,NORMAL_LOW,-0.7460,NORMAL_LOW,7.7500,5.2500,-0.2500,-5.5000
5,LOW,2025-10-09,RTH,-1.3278,NORMAL_LOW,0,0,2025-10-09,RTH,-1.1556,NORMAL_LOW,-1.1556,NORMAL_LOW,-1.2974,NORMAL_LOW,-1.1556,NORMAL_LOW,-1.4225,NORMAL_LOW,-1.1556,NORMAL_LOW,-1.4369,NORMAL_LOW,-1.1556,NORMAL_LOW,-1.4789,NORMAL_LOW,-1.1556,NORMAL_LOW,-0.5000,-27.2500,3.5000,89.7500
5,LOW,2023-11-23,GLOBEX,-1.3267,NORMAL_LOW,0,0,2023-11-29,RTH,-1.7069,NORMAL_LOW,-1.7069,NORMAL_LOW,-0.8168,NORMAL_LOW,0.0733,NORMAL_LOW,-1.0861,NORMAL_LOW,0.0733,NORMAL_LOW,-1.0823,NORMAL_LOW,0.0733,NORMAL_LOW,-1.2846,NORMAL_LOW,0.0733,NORMAL_LOW,4.2500,25.2500,-41.5000,-15.7500
5,HIGH,2025-09-17,GLOBEX,-1.3264,NORMAL_LOW,1,1,2025-09-17,GLOBEX,-1.4651,NORMAL_LOW,-1.4651,NORMAL_LOW,-1.3853,NORMAL_LOW,-1.3056,NORMAL_LOW,-1.3940,NORMAL_LOW,-1.3056,NORMAL_LOW,-1.4193,NORMAL_LOW,-1.3056,NORMAL_LOW,-1.4624,NORMAL_LOW,-1.3056,NORMAL_LOW,-17.5000,-15.0000,-16.7500,0.5000
5,HIGH,2025-08-26,GLOBEX,-1.3262,NORMAL_LOW,1,1,2025-08-27,GLOBEX,-1.2725,NORMAL_LOW,-1.2725,NORMAL_LOW,-1.2409,NORMAL_LOW,-1.2093,NORMAL_LOW,-1.2670,NORMAL_LOW,-1.2093,NORMAL_LOW,-1.2561,NORMAL_LOW,-1.2093,NORMAL_LOW,-1.2242,NORMAL_LOW,-0.8966,NORMAL_LOW,-13.7500,-3.7500,-3.2500,-19.2500
5,LOW,2025-09-09,GLOBEX,-1.3256,NORMAL_LOW,3,2+,2025-09-10,GLOBEX,-1.0562,NORMAL_LOW,-1.0562,NORMAL_LOW,-1.0025,NORMAL_LOW,-0.9488,NORMAL_LOW,-0.9841,NORMAL_LOW,-0.9472,NORMAL_LOW,-0.9582,NORMAL_LOW,-0.8805,NORMAL_LOW,-1.0150,NORMAL_LOW,-0.8805,NORMAL_LOW,6.7500,-6.2500,-6.5000,23.0000
