levelName,direction,setupType,calSource,delayMin,N,targetPct,stopPct,nonePct,avgExtraMfe,distinctDates
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",230,125,48.80,33.60,17.60,80.05,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",235,125,52.80,27.20,20.00,82.31,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",240,124,50.81,30.65,18.55,83.09,124
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",0,138,44.20,53.62,2.17,147.15,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",5,138,44.20,53.62,2.17,150.97,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",10,138,44.20,54.35,1.45,189.41,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",15,138,41.30,57.25,1.45,137.62,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",20,138,36.23,60.87,2.90,176.64,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",25,138,39.86,57.97,2.17,145.98,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",30,138,31.88,65.22,2.90,157.53,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",35,138,35.51,60.87,3.62,119.45,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",40,138,34.78,62.32,2.90,146.04,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",45,138,36.96,60.14,2.90,179.50,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",50,138,31.16,65.22,3.62,162.42,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",55,138,48.55,46.38,5.07,167.54,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",60,138,47.10,50.00,2.90,128.10,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",65,138,42.75,52.90,4.35,156.01,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",70,138,39.13,56.52,4.35,142.77,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",75,138,39.86,55.80,4.35,158.45,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",80,138,39.86,56.52,3.62,120.53,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",85,138,41.30,54.35,4.35,120.25,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",90,138,44.20,51.45,4.35,127.79,138
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",95,138,45.65,49.28,5.07,95.65,138
