entryTime,direction,entryPrice,stopPrice,pivotPrice,streak,numTouches,fwd30,fwd60,fwd120,fwd240
2026-01-07 09:55:00,LONG,25855,25817.6065,25844.75,2,3,-8.25,49.75,104.25,103.75
2026-01-08 01:15:00,SHORT,25678.5,25747.9065,25727,3,4,-24.50,-39.50,-98.00,-74.25
2026-01-07 21:50:00,SHORT,25786.25,25830.1565,25810.75,3,4,1.50,8.25,7.75,86.75
2026-01-12 14:25:00,LONG,25996,25956.5935,25979,4,5,13.25,-7.50,-27.75,-108.25
2026-01-14 10:05:00,SHORT,25589.5,25675.08575,25627.5,3,4,-5.75,72.00,126.00,93.00
2026-01-13 10:30:00,SHORT,25844,25919.922,25863.75,5,6,-52.75,-69.75,-133.00,-22.75
2026-01-27 06:50:00,LONG,26037,25997.078,26020.5,7,8,-23.75,-32.25,-47.50,38.25
2026-01-27 10:10:00,LONG,26059.75,26030.8835,26045.5,2,3,24.25,37.50,15.25,16.75
2026-01-27 10:05:00,LONG,26066.25,25974.8835,26042.75,1,2,5.75,20.75,7.00,14.00
2026-01-14 05:30:00,SHORT,25746,25839.8665,25809.25,1,2,15.50,-15.00,-28.75,13.75
2026-01-27 06:50:00,LONG,26037,25997.1335,26025.75,3,4,-23.75,-32.25,-47.50,38.25
2026-01-26 21:10:00,LONG,25947.5,25910.1335,25926.5,18,19,12.75,26.00,51.50,70.25
2026-01-18 19:25:00,SHORT,25386.25,25453.6045,25435.5,7,8,-54.25,-15.25,-28.75,5.50
2026-01-15 14:30:00,SHORT,25773.25,25865.84175,25841.5,2,3,31.25,62.50,69.75,20.75
2026-01-26 21:10:00,LONG,25947.5,25910.40825,25925.75,7,8,12.75,26.00,51.50,70.25
2026-01-26 21:15:00,LONG,25952.5,25916.15825,25938,1,2,7.00,12.75,40.50,68.25
2026-01-26 11:00:00,LONG,25885.25,25833.90425,25873.25,4,5,25.25,22.25,0.50,-5.75
2026-01-23 10:45:00,LONG,25810,25739.90425,25752.75,2,3,9.50,-14.25,-71.50,-69.00
2026-01-22 03:45:00,LONG,25673,25632.40425,25654,1,2,32.00,29.00,17.50,10.75
2026-01-21 14:45:00,LONG,25615.5,25416.16475,25470,4,5,-44.75,-136.75,-106.50,-53.50
2026-01-19 20:35:00,LONG,25416,25388.16475,25410.75,3,4,0.75,12.00,-0.50,-7.25
2026-01-20 03:25:00,SHORT,25237.25,25284.08525,25257.75,5,6,18.75,73.75,54.50,7.25
2026-01-21 07:00:00,SHORT,25054,25123.76475,25095.25,1,2,-9.75,-24.50,-47.75,-415.25
2026-01-21 10:45:00,LONG,25470.5,25373.23525,25417,3,4,-11.75,-183.50,-294.50,117.75
2026-01-21 10:45:00,LONG,25470.5,25373.23525,25428.25,1,2,-11.75,-183.50,-294.50,117.75
2026-02-01 18:25:00,SHORT,25433.75,25542.10325,25446,1,2,-100.25,-164.50,-105.75,72.75
2026-02-01 18:15:00,SHORT,25420.75,25542.4625,25483.75,2,3,-128.50,-165.25,-88.00,77.25
2026-01-23 10:35:00,LONG,25778.5,25668.5375,25739.75,1,2,46.25,3.25,3.25,-25.75
2026-01-25 18:15:00,SHORT,25513.25,25590.7125,25536.75,1,2,5.25,-74.25,-103.00,-125.50
2026-01-23 10:35:00,LONG,25778.5,25668.5375,25723.5,4,5,46.25,3.25,3.25,-25.75
2026-01-23 04:45:00,SHORT,25556.75,25608.2125,25584.75,4,5,1.00,-4.50,-74.00,-23.50
2026-01-23 10:35:00,LONG,25778.5,25668.53475,25731.5,1,2,46.25,3.25,3.25,-25.75
2026-01-26 01:10:00,LONG,25687.25,25636.6095,25668.75,1,2,-12.75,-8.00,25.25,-66.00
2026-01-29 11:00:00,SHORT,25559.25,25648.6405,25595.25,1,2,-132.75,-167.75,-216.00,-291.25
2026-02-01 19:25:00,LONG,25612.75,25540.6095,25582,3,4,-3.50,-73.25,-187.50,-301.00
2026-01-26 21:15:00,LONG,25952.5,25915.8595,25936.5,1,2,7.00,12.75,40.50,68.25
2026-01-29 10:15:00,SHORT,25759.25,25873.6405,25834,1,2,126.00,97.25,-53.25,-112.25
2026-04-15 15:25:00,LONG,26336.5,26279.95225,26301,1,2,27.25,15.75,33.50,68.00
2026-01-29 09:45:00,SHORT,25986.25,26180.54775,26100.75,5,6,237.00,353.00,283.25,129.75
2026-01-29 09:45:00,SHORT,25986.25,26180.54775,26112.75,4,5,237.00,353.00,283.25,129.75
2026-01-30 02:45:00,SHORT,25740.25,25785.6225,25749,2,3,-5.75,21.75,57.25,-86.00
2026-04-15 10:05:00,LONG,26067.25,25984.3775,26050,3,4,78.50,101.75,140.50,140.75
2026-04-14 21:15:00,LONG,26039.25,25997.1275,26020,9,10,-4.75,-12.25,-41.00,-32.75
2026-02-03 02:45:00,LONG,26024,25977.8775,25993.75,6,7,-6.25,-37.75,-51.75,-67.75
2026-02-02 12:10:00,LONG,25905.25,25870.6275,25888,18,19,5.75,27.25,34.50,-16.25
2026-01-30 13:20:00,SHORT,25618.5,25742.014,25682,2,3,-84.25,-129.25,28.25,199.00
2026-02-02 12:25:00,LONG,25915.5,25870.236,25905.25,10,11,19.50,5.00,14.25,-35.50
2026-02-02 18:40:00,LONG,25961.25,25915.736,25940,8,9,-28.00,7.50,-1.75,-10.50
2026-02-02 18:40:00,LONG,25961.25,25912.236,25934,6,7,-28.00,7.50,-1.75,-10.50
2026-02-01 19:20:00,LONG,25614,25491.736,25568.75,2,3,0.25,-107.00,-202.50,-297.50
2026-02-04 10:55:00,SHORT,25152.25,25265.59675,25216.25,6,7,47.50,151.75,278.00,64.75
2026-02-04 02:20:00,LONG,25497.5,25455.413,25477,1,2,13.00,-25.00,-133.25,-46.50
2026-02-04 09:10:00,SHORT,25348.75,25399.087,25362,3,4,44.75,133.75,277.25,510.50
2026-04-13 16:05:00,LONG,25546.75,25463.6595,25490.5,3,4,22.00,39.75,55.25,36.50
2026-02-08 18:15:00,LONG,25254.25,25147.1595,25181.25,1,2,18.00,65.25,-16.50,-26.00
2026-02-08 18:15:00,LONG,25254.25,25147.1595,25169,2,3,18.00,65.25,-16.50,-26.00
2026-02-06 15:25:00,LONG,25109.75,25076.6595,25094.5,14,15,71.50,4.50,146.25,136.50
2026-02-05 07:35:00,SHORT,24834.75,24986.0905,24948.25,3,4,24.00,-13.25,36.50,34.25
2026-02-06 15:25:00,LONG,25109.75,25076.27825,25096.75,8,9,71.50,4.50,146.25,136.50
2026-02-06 09:45:00,LONG,24931.5,24693.77825,24869.25,5,6,-155.25,0.75,95.00,169.00
