zoneId,entryTime,direction,entryPrice,stopPrice,streak,mfeAtr,p50_pnl,p50_win
242,2025-12-18 15:00:00,SHORT,25253.75,25290.0025,2,0.012,-74.50,false
109,2025-12-18 15:20:00,LONG,25306.25,25245.17375,0,0.100,-124.15,false
242,2025-12-18 15:20:00,LONG,25306.25,25243.2475,0,0.100,-128.00,false
333,2025-12-18 15:20:00,LONG,25306.25,25241.8155,1,0.100,-130.87,false
245,2025-12-18 15:25:00,LONG,25307.75,25250.9785,1,0.096,-115.54,false
258,2025-12-18 15:30:00,LONG,25318.5,25257.6065,0,0.067,-123.79,false
258,2025-12-18 16:05:00,SHORT,25231.5,25350.3935,1,0.094,-239.79,false
109,2025-12-18 16:10:00,SHORT,25209.75,25307.82625,0,0.036,-198.15,false
242,2025-12-18 16:10:00,SHORT,25209.75,25309.7525,0,0.036,-202.00,false
245,2025-12-18 16:10:00,SHORT,25209.75,25310.0215,0,0.036,-202.54,false
287,2025-12-18 16:10:00,SHORT,25209.75,25312.15775,3,0.036,-206.82,false
329,2025-12-18 16:10:00,SHORT,25209.75,25311.07325,4,0.036,-204.65,false
333,2025-12-18 16:10:00,SHORT,25209.75,25311.1845,0,0.036,-204.87,false
274,2025-12-18 16:20:00,SHORT,25212,25265.63375,7,0.042,-109.27,false
98,2025-12-18 16:25:00,SHORT,25217.5,25237.4675,7,0.056,-41.93,false
98,2025-12-18 18:45:00,LONG,25240.25,25212.5325,2,0.081,-57.43,false
274,2025-12-18 19:00:00,LONG,25255.25,25211.61625,3,0.002,-89.27,false
329,2025-12-18 21:05:00,LONG,25261.75,25225.42675,11,1.746,132.94,true
287,2025-12-18 21:15:00,LONG,25264,25224.34225,6,1.739,132.94,true
242,2025-12-18 21:35:00,LONG,25276.5,25248.7475,2,0.012,-57.50,false
109,2025-12-18 22:35:00,LONG,25287,25232.67375,5,1.668,132.94,true
333,2025-12-18 22:35:00,LONG,25287,25229.3155,5,1.668,132.94,true
245,2025-12-18 22:50:00,LONG,25313.75,25261.9785,3,1.586,132.94,true
258,2025-12-18 22:55:00,LONG,25307,25278.1065,1,0.035,-59.79,false
258,2025-12-19 00:15:00,SHORT,25287.5,25316.1435,2,0.064,-59.29,false
258,2025-12-19 02:10:00,LONG,25361.25,25264.8565,4,1.439,132.94,true
222,2025-12-19 02:15:00,LONG,25365.25,25291.50175,8,0.087,-149.50,false
223,2025-12-19 02:15:00,LONG,25365.25,25291.50175,1,0.087,-149.50,false
243,2025-12-19 02:15:00,LONG,25365.25,25292.4975,9,0.087,-147.50,false
280,2025-12-19 02:20:00,LONG,25350.25,25289.72225,2,0.134,-123.06,false
129,2025-12-19 03:20:00,LONG,25360,25327.59625,1,0.103,-66.81,false
281,2025-12-19 03:45:00,LONG,25375.75,25336.47225,2,0.055,-80.56,false
281,2025-12-19 06:15:00,SHORT,25347.75,25391.27775,4,0.229,132.94,true
129,2025-12-19 06:20:00,SHORT,25336,25363.40375,5,0.007,-56.81,false
223,2025-12-19 07:40:00,SHORT,25315.5,25363.74825,4,0.129,-98.50,false
280,2025-12-19 07:40:00,SHORT,25315.5,25368.02775,4,0.129,-107.06,false
243,2025-12-19 08:00:00,SHORT,25294.25,25331.7525,3,0.017,-77.00,false
222,2025-12-19 08:05:00,SHORT,25304,25331.24825,5,0.036,-56.50,false
243,2025-12-19 08:45:00,LONG,25329.75,25282.7475,0,1.715,132.94,true
222,2025-12-19 08:55:00,LONG,25323.5,25285.25175,0,1.735,132.94,true
223,2025-12-19 09:20:00,LONG,25373,25291.25175,2,1.582,132.94,true
280,2025-12-19 09:25:00,LONG,25362,25308.22225,2,1.616,132.94,true
129,2025-12-19 09:30:00,LONG,25453,25333.59625,3,1.344,132.94,true
281,2025-12-19 09:40:00,LONG,25547.5,25328.97225,3,1.052,132.94,true
107,2025-12-19 09:45:00,LONG,25547,25352.9075,0,1.053,132.94,true
244,2025-12-19 09:45:00,LONG,25547,25350.9975,6,1.053,132.94,true
251,2025-12-19 09:45:00,LONG,25547,25350.416,0,1.053,132.94,true
282,2025-12-19 09:45:00,LONG,25547,25348.22225,12,1.053,132.94,true
283,2025-12-19 09:45:00,LONG,25547,25348.22225,0,1.053,132.94,true
288,2025-12-19 09:45:00,LONG,25547,25348.59225,16,1.053,132.94,true
335,2025-12-19 09:45:00,LONG,25547,25350.52625,0,1.053,132.94,true
290,2025-12-19 09:50:00,LONG,25537,25348.61075,0,1.084,132.94,true
125,2025-12-19 09:55:00,LONG,25560.25,25423.3055,1,1.025,132.94,true
126,2025-12-19 09:55:00,LONG,25560.25,25423.3055,1,1.025,132.94,true
127,2025-12-19 09:55:00,LONG,25560.25,25423.3055,7,1.025,132.94,true
131,2025-12-19 09:55:00,LONG,25560.25,25423.09625,2,1.025,132.94,true
138,2025-12-19 09:55:00,LONG,25560.25,25423.16425,2,1.025,132.94,true
165,2025-12-19 09:55:00,LONG,25560.25,25421.3215,1,1.025,132.94,true
