date,session,swing_width,type,target_type,entry,stop,target,hit_target,hit_stop,time_exit,pnl_pts,pnl_usd
2026-04-28,RTH,3,SHORT,P50,27261.00,27316.50,27221.82,1,0,0,39.18,76.37
2026-04-28,RTH,5,SHORT,P50,27261.00,27316.50,27221.82,1,0,0,39.18,76.37
2026-04-30,GLOBEX,3,SHORT,P50,27375.50,27396.75,27339.97,1,0,0,35.53,69.06
2026-05-01,GLOBEX,3,SHORT,P50,27616.50,27628.50,27580.11,1,0,0,36.39,70.78
2026-05-01,GLOBEX,5,SHORT,P50,27616.50,27628.50,27580.11,1,0,0,36.39,70.78
2026-05-05,RTH,3,LONG,P50,27923.50,27912.00,27958.71,0,1,0,-11.50,-25.00
2026-05-05,RTH,5,LONG,P50,27923.50,27912.00,27958.71,0,1,0,-11.50,-25.00
2026-05-06,GLOBEX,3,LONG,P50,28345.75,28328.75,28379.72,0,1,0,-17.00,-36.00
2026-05-06,GLOBEX,5,LONG,P50,28345.75,28328.75,28379.72,0,1,0,-17.00,-36.00
2026-05-26,RTH,3,LONG,P50,29788.00,29744.00,29828.16,1,0,0,40.16,78.33
2026-05-26,RTH,5,LONG,P50,29788.00,29744.00,29828.16,1,0,0,40.16,78.33
2026-05-27,GLOBEX,3,LONG,P50,30203.50,30166.25,30243.94,1,0,0,40.44,78.88
2026-05-27,GLOBEX,5,LONG,P50,30203.50,30166.25,30243.94,1,0,0,40.44,78.88
2026-06-01,RTH,3,LONG,P50,30478.25,30443.75,30518.86,0,1,0,-34.50,-71.00
2026-06-01,RTH,5,LONG,P50,30481.75,30443.75,30522.36,0,1,0,-38.00,-78.00
2026-06-02,GLOBEX,3,LONG,P50,30452.50,30425.00,30493.52,1,0,0,41.02,80.04
2026-06-02,RTH,3,LONG,P50,30672.25,30638.75,30713.27,0,1,0,-33.50,-69.00
2026-06-02,RTH,5,LONG,P50,30672.25,30638.75,30713.27,0,1,0,-33.50,-69.00
2026-06-05,GLOBEX,3,SHORT,P50,30119.00,30159.50,30077.64,1,0,0,41.36,80.73
2026-06-05,GLOBEX,5,SHORT,P50,30119.00,30159.50,30077.64,1,0,0,41.36,80.73
2026-06-09,GLOBEX,3,LONG,P50,29611.50,29597.00,29657.46,0,1,0,-14.50,-31.00
2026-06-10,RTH,3,SHORT,P50,28768.75,28830.00,28716.83,1,0,0,51.92,101.85
2026-06-10,RTH,5,SHORT,P50,28768.75,28830.00,28716.83,1,0,0,51.92,101.85
2026-06-17,RTH,3,LONG,P50,30493.75,30478.75,30550.90,1,0,0,57.15,112.30
2026-06-17,RTH,5,LONG,P50,30493.75,30478.75,30550.90,1,0,0,57.15,112.30
2026-06-18,GLOBEX,3,LONG,P50,30468.75,30440.25,30527.21,0,1,0,-28.50,-59.00
