mode,pop_n,pct_backfill,category,slice_name,horizon,n,missing_horizon,baseline_mean,baseline_median,slice_mean,slice_median,slice_stddev,delta_mean,status
ALL,5094,87.3,setup_type,IB_LOW_FADE_LONG,60,15,0,239.65,203.25,97.40,109.50,152.65,-142.25,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_LONG,120,15,0,200.20,175.25,75.58,115.00,186.06,-124.61,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_LONG,240,15,0,71.57,33.00,63.85,50.50,207.50,-7.72,INSUFFICIENT
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_LONG,15,22,0,255.89,220.50,58.93,59.63,80.14,-196.96,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_LONG,30,22,0,251.41,214.75,83.80,90.38,104.87,-167.62,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_LONG,60,22,0,239.65,203.25,81.16,83.63,104.34,-158.50,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_LONG,120,22,0,200.20,175.25,33.81,88.75,206.00,-166.39,OK
ALL,5094,87.3,setup_type,VALUE_AREA_RESPONSIVE_LONG,240,22,0,71.57,33.00,102.74,115.00,167.12,31.17,OK
ALL,5094,87.3,setup_type,C_STANDALONE_DOWN,15,63,0,255.89,220.50,85.96,71.75,87.77,-169.93,OK
ALL,5094,87.3,setup_type,C_STANDALONE_DOWN,30,63,0,251.41,214.75,113.46,95.50,94.69,-137.96,OK
ALL,5094,87.3,setup_type,C_STANDALONE_DOWN,60,63,0,239.65,203.25,126.86,119.25,103.81,-112.80,OK
ALL,5094,87.3,setup_type,C_STANDALONE_DOWN,120,63,0,200.20,175.25,124.38,109.00,123.64,-75.81,OK
ALL,5094,87.3,setup_type,C_STANDALONE_DOWN,240,63,0,71.57,33.00,121.71,108.75,173.19,50.14,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_SHORT,15,23,0,255.89,220.50,107.70,88.25,97.96,-148.20,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_SHORT,30,23,0,251.41,214.75,135.23,113.50,104.24,-116.18,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_SHORT,60,23,0,239.65,203.25,139.77,112.50,131.43,-99.88,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_SHORT,120,23,0,200.20,175.25,137.91,106.75,138.57,-62.28,OK
ALL,5094,87.3,setup_type,OPEN_TEST_DRIVE_SHORT,240,23,0,71.57,33.00,111.84,70.75,220.19,40.27,OK
ALL,5094,87.3,setup_type,TRT_LONG,15,13,0,255.89,220.50,63.08,62.00,40.11,-192.82,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_LONG,30,13,0,251.41,214.75,65.63,78.75,46.34,-185.78,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_LONG,60,13,0,239.65,203.25,64.65,72.75,62.37,-175.00,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_LONG,120,13,0,200.20,175.25,72.94,79.50,107.34,-127.25,INSUFFICIENT
