date,session,swing_width,type,confirmation_window_hours,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2026-09-01,GLOBEX,3,HIGH,1,5,8.75,0.3574,0.3217,-1.5331,-0.4782,-0.8859,-1.0797,-3.9769,1,29542.25,29521.75,29557.12,29597.73,1,0,0,1,0,14.87,-20.50,27.74,-43.00
2025-10-29,RTH,3,LOW,1,2,2.25,-0.8068,-0.8821,-1.0013,-0.4829,-1.0792,-1.4085,-3.9719,1,26454.50,26470.00,26439.91,26400.08,1,1,0,0,0,14.59,54.42,27.18,106.84
2025-09-17,GLOBEX,3,LOW,1,2,3.92,-0.9702,-0.7703,-1.0013,-0.4817,-1.1063,-1.3779,-3.9673,1,24261.75,24270.75,24251.53,24223.64,1,0,0,1,0,10.22,-9.00,18.43,-20.00
2025-10-23,GLOBEX,3,HIGH,1,2,15.68,-0.9454,-0.8145,-1.0013,-0.4732,-1.1022,-1.3900,-3.9667,1,25388.00,25362.75,25402.87,25443.46,0,0,1,1,0,-25.25,-25.25,-52.50,-52.50
2025-10-23,GLOBEX,5,HIGH,1,2,17.12,-0.9454,-0.8030,-1.0013,-0.4721,-1.1022,-1.3869,-3.9625,1,25388.00,25362.75,25402.87,25443.46,0,0,1,1,0,-25.25,-25.25,-52.50,-52.50
2025-09-17,GLOBEX,5,LOW,1,2,5.83,-0.6172,-0.9655,-1.0013,-0.4803,-1.0477,-1.4312,-3.9606,1,24335.75,24342.25,24325.53,24297.64,0,0,1,1,0,-6.50,-6.50,-15.00,-15.00
2025-09-17,GLOBEX,3,LOW,1,2,5.67,-0.6172,-0.9513,-1.0013,-0.4804,-1.0477,-1.4274,-3.9568,1,24335.75,24342.25,24325.53,24297.64,0,0,1,1,0,-6.50,-6.50,-15.00,-15.00
2025-10-29,GLOBEX,3,HIGH,1,2,6.10,-0.7374,-0.8782,-1.0013,-0.4801,-1.0677,-1.4074,-3.9565,1,26576.25,26556.00,26590.84,26630.67,0,0,1,1,0,-20.25,-20.25,-42.50,-42.50
2025-10-29,GLOBEX,5,HIGH,1,2,6.82,-0.7374,-0.8426,-1.0013,-0.4796,-1.0677,-1.3977,-3.9463,1,26576.25,26556.00,26590.84,26630.67,0,0,1,1,0,-20.25,-20.25,-42.50,-42.50
2025-12-26,GLOBEX,3,HIGH,1,4,5.58,-0.0480,0.3201,-1.4267,-0.4805,-0.9532,-1.0801,-3.9406,1,25887.25,25881.00,25899.66,25933.53,1,0,0,1,0,12.41,-6.25,22.81,-14.50
2025-11-04,RTH,3,LOW,1,2,3.42,-0.7148,-0.8238,-1.0013,-0.4821,-1.0639,-1.3925,-3.9399,1,25900.00,25923.50,25884.66,25842.78,1,0,0,1,0,15.34,-23.50,28.68,-49.00
2025-09-17,GLOBEX,5,LOW,1,2,1.00,-0.9597,-0.6635,-1.0013,-0.4838,-1.1046,-1.3488,-3.9385,1,24335.75,24342.25,24325.53,24297.64,0,0,1,1,0,-6.50,-6.50,-15.00,-15.00
2025-09-17,GLOBEX,3,LOW,1,2,0.83,-0.9597,-0.6611,-1.0013,-0.4839,-1.1046,-1.3481,-3.9380,1,24335.75,24342.25,24325.53,24297.64,0,0,1,1,0,-6.50,-6.50,-15.00,-15.00
2025-11-27,GLOBEX,3,LOW,1,5,0.92,0.5547,0.3845,-1.5331,-0.4839,-0.8531,-1.0626,-3.9326,1,25292.00,25305.50,25271.31,25214.81,0,0,1,1,0,-13.50,-13.50,-29.00,-29.00
2026-02-16,RTH,3,HIGH,1,3,76.42,-0.0856,-0.3986,-1.2672,-0.4291,-0.9594,-1.2764,-3.9322,1,24754.50,24743.75,24773.50,24825.39,0,0,1,1,0,-10.75,-10.75,-23.50,-23.50
2025-11-27,GLOBEX,5,LOW,1,5,1.08,0.5547,0.3955,-1.5331,-0.4838,-0.8531,-1.0596,-3.9295,1,25292.00,25305.50,25271.31,25214.81,0,0,1,1,0,-13.50,-13.50,-29.00,-29.00
2025-10-29,GLOBEX,3,LOW,1,2,2.55,-0.5984,-0.8271,-1.0013,-0.4827,-1.0446,-1.3935,-3.9221,1,26509.50,26520.00,26494.91,26455.08,0,0,1,1,0,-10.50,-10.50,-23.00,-23.00
2025-11-05,RTH,3,HIGH,1,2,24.53,-0.7357,-0.7765,-1.0013,-0.4668,-1.0674,-1.3796,-3.9151,1,26066.25,26056.00,26081.76,26124.11,1,1,0,0,0,15.51,57.86,29.02,113.71
2026-07-03,GLOBEX,3,HIGH,1,3,0.83,0.1199,-0.2559,-1.2672,-0.4839,-0.9253,-1.2375,-3.9139,1,29910.50,29902.75,29941.23,30025.14,0,0,1,1,0,-7.75,-7.75,-17.50,-17.50
2025-11-30,RTH,3,HIGH,1,3,244.97,-0.4958,-0.5179,-1.2672,-0.3069,-1.0276,-1.3090,-3.9106,1,25475.00,25457.50,25494.82,25548.93,1,0,0,1,0,19.82,-17.50,37.64,-37.00
2025-11-30,RTH,5,HIGH,1,3,245.10,-0.4958,-0.5074,-1.2672,-0.3068,-1.0276,-1.3061,-3.9077,1,25475.00,25457.50,25494.82,25548.93,1,0,0,1,0,19.82,-17.50,37.64,-37.00
2025-11-05,RTH,5,HIGH,1,2,24.70,-0.7357,-0.7466,-1.0013,-0.4666,-1.0674,-1.3715,-3.9068,1,26066.25,26056.00,26081.76,26124.11,1,1,0,0,0,15.51,57.86,29.02,113.71
2025-11-11,RTH,3,HIGH,1,2,3.55,-0.7457,-0.6804,-1.0013,-0.4820,-1.0691,-1.3534,-3.9057,1,25889.50,25832.00,25904.89,25946.91,0,0,1,1,0,-57.50,-57.50,-117.00,-117.00
2025-10-23,GLOBEX,3,LOW,1,2,72.08,-0.7681,-0.8466,-1.0013,-0.4323,-1.0728,-1.3988,-3.9051,1,25272.00,25275.00,25257.13,25216.54,0,0,1,1,0,-3.00,-3.00,-8.00,-8.00
2026-07-03,GLOBEX,5,HIGH,1,3,1.50,0.1199,-0.2221,-1.2672,-0.4835,-0.9253,-1.2282,-3.9042,1,29910.50,29902.75,29941.23,30025.14,0,0,1,1,0,-7.75,-7.75,-17.50,-17.50
2026-09-07,RTH,3,LOW,1,3,82.83,-0.8674,0.1623,-1.2672,-0.4245,-1.0893,-1.1232,-3.9042,1,29582.25,29589.00,29569.38,29534.25,1,1,0,0,0,12.87,48.00,23.73,94.00
2025-10-30,GLOBEX,3,LOW,1,2,17.92,-0.7666,-0.6969,-1.0013,-0.4716,-1.0725,-1.3579,-3.9033,1,26465.75,26475.00,26451.20,26411.48,1,0,0,1,0,14.55,-9.25,27.09,-20.50
2025-11-10,RTH,3,HIGH,1,2,33.25,-0.7460,-0.7439,-1.0013,-0.4604,-1.0691,-1.3707,-3.9016,1,25816.50,25797.50,25831.72,25873.28,0,0,1,1,0,-19.00,-19.00,-40.00,-40.00
2026-06-19,RTH,3,LOW,1,2,0.83,-0.6317,-0.7263,-1.0013,-0.4839,-1.0501,-1.3659,-3.9013,1,30647.00,30670.25,30622.42,30555.32,1,1,0,0,0,24.58,91.68,47.15,181.36
2026-09-07,RTH,3,LOW,1,1,4.00,-2.2600,-1.6016,-0.4695,-0.4817,-1.3205,-1.6050,-3.8767,1,29594.75,29609.75,29581.88,29546.75,1,0,0,1,0,12.87,-15.00,23.73,-32.00
2025-11-13,RTH,5,LOW,1,2,24.83,-0.6657,-0.6716,-1.0013,-0.4665,-1.0558,-1.3510,-3.8746,1,25729.50,25756.50,25715.25,25676.36,0,0,1,1,0,-27.00,-27.00,-56.00,-56.00
2026-09-01,GLOBEX,5,HIGH,1,5,8.92,0.3574,0.6979,-1.5331,-0.4781,-0.8859,-0.9770,-3.8740,1,29542.25,29521.75,29557.12,29597.73,1,0,0,1,0,14.87,-20.50,27.74,-43.00
2025-10-14,RTH,3,LOW,1,2,308.17,-0.9999,-1.2126,-1.0013,-0.2610,-1.1113,-1.4987,-3.8724,1,25080.00,25102.25,25069.04,25039.11,1,1,0,0,0,10.96,40.89,19.93,79.79
2025-11-13,RTH,3,LOW,1,2,24.73,-0.6657,-0.6508,-1.0013,-0.4666,-1.0558,-1.3453,-3.8690,1,25729.50,25756.50,25715.25,25676.36,0,0,1,1,0,-27.00,-27.00,-56.00,-56.00
2025-09-17,GLOBEX,3,LOW,1,2,13.50,-0.2558,-0.8591,-1.0013,-0.4748,-0.9877,-1.4022,-3.8660,1,24251.00,24264.25,24240.78,24212.89,1,0,0,1,0,10.22,-13.25,18.43,-28.50
2025-09-17,GLOBEX,5,LOW,1,2,13.67,-0.2558,-0.8560,-1.0013,-0.4746,-0.9877,-1.4013,-3.8650,1,24251.00,24264.25,24240.78,24212.89,1,0,0,1,0,10.22,-13.25,18.43,-28.50
2025-10-21,RTH,5,LOW,1,2,244.40,-1.0989,-0.9430,-1.0013,-0.3073,-1.1277,-1.4251,-3.8614,1,25524.00,25539.50,25510.02,25471.87,1,0,0,1,0,13.98,-15.50,25.95,-33.00
2025-11-10,RTH,3,LOW,1,2,9.87,-0.5915,-0.6265,-1.0013,-0.4774,-1.0435,-1.3387,-3.8608,1,25731.00,25759.25,25715.78,25674.22,0,0,1,1,0,-28.25,-28.25,-58.50,-58.50
2025-11-18,GLOBEX,5,LOW,1,2,3.40,-0.4632,-0.6747,-1.0013,-0.4821,-1.0221,-1.3518,-3.8574,1,24843.50,24856.75,24827.98,24785.60,1,1,0,0,0,15.52,57.90,29.04,113.79
2026-06-21,GLOBEX,3,LOW,1,2,5.00,0.7776,-1.4060,-1.0013,-0.4809,-0.8161,-1.5515,-3.8499,1,30536.75,30616.75,30512.61,30446.70,1,1,0,0,0,24.14,90.05,46.28,178.10
2025-11-12,GLOBEX,3,HIGH,1,2,25.67,-0.5353,-0.6558,-1.0013,-0.4659,-1.0341,-1.3467,-3.8480,1,26043.00,26029.25,26057.67,26097.73,1,0,0,1,0,14.67,-13.75,27.34,-29.50
2025-11-18,GLOBEX,3,LOW,1,2,3.00,-0.4632,-0.6371,-1.0013,-0.4824,-1.0221,-1.3416,-3.8474,1,24843.50,24856.75,24827.98,24785.60,1,1,0,0,0,15.52,57.90,29.04,113.79
2025-11-12,GLOBEX,5,HIGH,1,2,26.10,-0.5353,-0.5719,-1.0013,-0.4656,-1.0341,-1.3237,-3.8248,1,26043.00,26029.25,26057.67,26097.73,1,0,0,1,0,14.67,-13.75,27.34,-29.50
2025-10-21,GLOBEX,5,LOW,1,2,265.98,-0.8116,-1.0091,-1.0013,-0.2916,-1.0800,-1.4431,-3.8161,1,25477.50,25515.50,25463.52,25425.37,1,0,0,1,0,13.98,-38.00,25.95,-78.00
2025-12-30,GLOBEX,3,HIGH,1,5,6.25,0.4291,0.9179,-1.5331,-0.4800,-0.8740,-0.9169,-3.8039,1,25742.50,25737.00,25755.07,25789.41,0,0,1,1,0,-5.50,-5.50,-13.00,-13.00
2025-10-21,GLOBEX,3,LOW,1,2,265.53,-0.8116,-0.9573,-1.0013,-0.2920,-1.0800,-1.4290,-3.8023,1,25477.50,25515.50,25463.52,25425.37,1,0,0,1,0,13.98,-38.00,25.95,-78.00
2025-12-26,GLOBEX,3,LOW,1,4,6.17,0.5856,0.4501,-1.4267,-0.4801,-0.8480,-1.0446,-3.7994,1,25871.50,25877.75,25859.09,25825.22,0,0,1,1,0,-6.25,-6.25,-14.50,-14.50
2025-11-05,RTH,3,HIGH,1,2,207.93,-0.8079,-0.7949,-1.0013,-0.3337,-1.0794,-1.3846,-3.7991,1,26001.25,25997.75,26016.76,26059.11,1,1,0,0,0,15.51,57.86,29.02,113.71
2025-11-05,RTH,3,LOW,1,2,219.72,-0.7724,-0.7940,-1.0013,-0.3252,-1.0735,-1.3844,-3.7844,1,26059.00,26073.50,26043.49,26001.14,1,1,0,0,0,15.51,57.86,29.02,113.71
2025-11-28,GLOBEX,3,HIGH,1,3,2.08,0.6439,-0.0801,-1.2672,-0.4830,-0.8383,-1.1894,-3.7780,1,25396.50,25347.75,25416.63,25471.60,1,0,0,1,0,20.13,-48.75,38.26,-99.50
2026-06-19,GLOBEX,5,HIGH,1,3,4.33,3.0553,-1.5350,-1.2672,-0.4814,-0.4379,-1.5868,-3.7732,1,30682.25,30664.00,30706.83,30773.93,0,0,1,1,0,-18.25,-18.25,-38.50,-38.50
