Config,K,RejectFrac,FlatBaseN,FlatBaseRate,SigN,SigRate,SigTMBaseRate,SameSelN,SameSelRate,SameSelTMBaseRate,Z_SigVsFlatBase,Z_SigVsTMBase,Z_SigVsSame,ThirdsStable
ONH_TO_ONL_RTH,10,0.1,411,62.5%,198,35.9%,51.4%,75,25.3%,56.2%,-6.18,-4.37,1.65,YES_NEG
ONH_TO_ONL_RTH,20,0.02,411,62.5%,78,37.2%,47.1%,194,30.4%,51.8%,-4.17,-1.75,1.08,YES_NEG
ONH_TO_ONL_RTH,20,0.05,411,62.5%,102,40.2%,48.0%,170,27.6%,51.9%,-4.09,-1.58,2.14,YES_NEG
ONH_TO_ONL_RTH,20,0.1,411,62.5%,152,36.8%,48.6%,120,26.7%,52.8%,-5.45,-2.89,1.78,YES_NEG
ONL_TO_ONH_RTH,3,0.02,411,66.7%,136,29.4%,49.8%,121,30.6%,55.7%,-7.62,-4.76,-0.20,YES_NEG
ONL_TO_ONH_RTH,3,0.05,411,66.7%,175,33.7%,50.9%,82,22.0%,56.2%,-7.37,-4.56,1.92,YES_NEG
ONL_TO_ONH_RTH,3,0.1,411,66.7%,218,31.7%,51.8%,39,20.5%,57.0%,-8.39,-5.96,1.40,YES_NEG
ONL_TO_ONH_RTH,5,0.02,411,66.7%,116,31.9%,48.5%,141,28.4%,54.4%,-6.72,-3.59,0.61,YES_NEG
ONL_TO_ONH_RTH,5,0.05,411,66.7%,151,35.8%,49.8%,106,21.7%,54.6%,-6.59,-3.44,2.42,YES_NEG
ONL_TO_ONH_RTH,5,0.1,411,66.7%,195,34.4%,50.6%,62,16.1%,55.4%,-7.49,-4.53,2.73,YES_NEG
ONL_TO_ONH_RTH,10,0.02,411,66.7%,92,34.8%,47.7%,164,27.4%,51.7%,-5.66,-2.47,1.23,YES_NEG
ONL_TO_ONH_RTH,10,0.05,411,66.7%,120,39.2%,48.5%,136,22.1%,51.8%,-5.42,-2.05,2.98,NO
ONL_TO_ONH_RTH,10,0.1,411,66.7%,160,37.5%,49.3%,96,17.7%,51.9%,-6.35,-2.98,3.34,YES_NEG
ONL_TO_ONH_RTH,20,0.02,411,66.7%,71,38.0%,45.1%,184,27.2%,48.3%,-4.60,-1.20,1.69,NO
ONL_TO_ONH_RTH,20,0.05,411,66.7%,97,44.3%,45.7%,158,21.5%,48.5%,-4.09,-0.27,3.85,NO
ONL_TO_ONH_RTH,20,0.1,411,66.7%,126,43.7%,46.3%,129,17.1%,48.5%,-4.64,-0.60,4.63,NO
