group,targetLevel,targetAtr,entryDate,month,type,ev,win,exitReason,pnlPts
3_GLOBEX,p75,0.42837560230017063,2026-01-16,2026-01,HIGH,-48.191500000000815,0,STOP,-23.095750000000407
3_GLOBEX,p75,0.42837560230017063,2026-01-16,2026-01,HIGH,-44.191500000000815,0,STOP,-21.095750000000407
3_GLOBEX,p75,0.42837560230017063,2026-01-16,2026-01,HIGH,-84.69150000000081,0,STOP,-41.34575000000041
3_GLOBEX,p75,0.42837560230017063,2026-01-20,2026-01,LOW,-97.52949999999691,0,STOP,-47.76474999999846
3_GLOBEX,p75,0.42837560230017063,2026-01-20,2026-01,HIGH,202.1102651059773,1,TARGET,102.05513255298865
3_GLOBEX,p75,0.42837560230017063,2026-01-20,2026-01,LOW,202.1102651059773,1,TARGET,102.05513255298865
3_GLOBEX,p75,0.42837560230017063,2026-01-21,2026-01,LOW,-60.70650000000023,0,STOP,-29.353250000000116
3_GLOBEX,p75,0.42837560230017063,2026-01-21,2026-01,HIGH,205.90138918632874,1,TARGET,103.95069459316437
3_GLOBEX,p75,0.42837560230017063,2026-01-22,2026-01,HIGH,-40.42500000000291,0,STOP,-19.212500000001455
3_GLOBEX,p75,0.42837560230017063,2026-01-22,2026-01,HIGH,-82.42500000000291,0,STOP,-40.212500000001455
3_GLOBEX,p75,0.42837560230017063,2026-01-23,2026-01,LOW,-66.43050000000221,0,STOP,-32.215250000001106
3_GLOBEX,p75,0.42837560230017063,2026-01-23,2026-01,HIGH,-118.43050000000221,0,STOP,-58.215250000001106
3_GLOBEX,p75,0.42837560230017063,2026-01-23,2026-01,LOW,221.40858598959312,1,TARGET,111.70429299479656
3_GLOBEX,p75,0.42837560230017063,2026-01-26,2026-01,HIGH,-143.9305000000022,0,STOP,-70.9652500000011
3_GLOBEX,p75,0.42837560230017063,2026-01-26,2026-01,HIGH,-80.78100000000268,0,STOP,-39.39050000000134
3_GLOBEX,p75,0.42837560230017063,2026-01-26,2026-01,HIGH,-218.28100000000268,0,STOP,-108.14050000000134
3_GLOBEX,p75,0.42837560230017063,2026-01-28,2026-01,HIGH,235.6520747660761,1,TARGET,118.82603738303806
3_GLOBEX,p75,0.42837560230017063,2026-02-03,2026-02,LOW,-67.67399999999907,0,STOP,-32.836999999999534
3_GLOBEX,p75,0.42837560230017063,2026-02-03,2026-02,LOW,-152.17399999999907,0,STOP,-75.08699999999953
3_GLOBEX,p75,0.42837560230017063,2026-02-06,2026-02,LOW,304.51345283583214,1,TARGET,153.25672641791607
3_GLOBEX,p75,0.42837560230017063,2026-02-10,2026-02,LOW,-50.0054999999993,0,STOP,-24.00274999999965
3_GLOBEX,p75,0.42837560230017063,2026-02-10,2026-02,LOW,-69.0054999999993,0,STOP,-33.50274999999965
3_GLOBEX,p75,0.42837560230017063,2026-02-10,2026-02,HIGH,-186.5054999999993,0,STOP,-92.25274999999965
3_GLOBEX,p75,0.42837560230017063,2026-02-10,2026-02,LOW,-60.5054999999993,0,STOP,-29.25274999999965
3_GLOBEX,p75,0.42837560230017063,2026-02-11,2026-02,HIGH,-68.02449999999953,0,STOP,-33.01224999999977
3_GLOBEX,p75,0.42837560230017063,2026-02-11,2026-02,LOW,-297.02449999999953,0,STOP,-147.51224999999977
