swing_width,type,pivot_date,pivot_session,confluence_bucket,break_date,break_month,touchVolZ,breakVolZ,mfe_pts,mfe_atr
5,LOW,2026-03-06,RTH,0,2026-03-06,2026-03,0.4289,-0.4576,635.2500,1.6068
3,LOW,2026-01-28,GLOBEX,1,2026-01-29,2026-01,6.4205,5.3315,451.7500,1.6069
3,LOW,2026-01-29,RTH,0,2026-01-29,2026-01,1.6608,1.6238,451.7500,1.6069
5,LOW,2026-01-28,GLOBEX,1,2026-01-29,2026-01,6.4205,3.7675,451.7500,1.6069
3,LOW,2026-07-29,GLOBEX,0,2026-07-29,2026-07,-0.2669,0.4004,702.5000,1.6071
5,LOW,2026-07-29,GLOBEX,0,2026-07-29,2026-07,-0.2669,0.4925,702.5000,1.6071
3,LOW,2025-11-06,RTH,0,2025-11-06,2025-11,-0.6967,-0.8957,539.2500,1.6073
3,HIGH,2026-06-05,GLOBEX,0,2026-06-05,2026-06,1.4646,4.4350,595.0000,1.6077
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.8195,-0.4811,597.0000,1.6084
5,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.8195,-0.6294,597.0000,1.6084
3,LOW,2026-06-22,GLOBEX,1,2026-06-22,2026-06,-0.2646,-0.1362,823.7500,1.6088
5,LOW,2026-06-22,GLOBEX,1,2026-06-22,2026-06,-0.2646,-0.0718,823.7500,1.6088
3,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,-0.2015,0.0603,501.0000,1.6089
3,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,-0.9620,-0.1027,501.0000,1.6089
5,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,-0.2015,-0.1741,501.0000,1.6089
3,HIGH,2026-03-31,GLOBEX,1,2026-03-31,2026-03,0.8128,0.0214,614.5000,1.6089
3,HIGH,2026-03-31,GLOBEX,0,2026-03-31,2026-03,1.6654,0.2686,614.5000,1.6089
5,HIGH,2026-03-31,GLOBEX,1,2026-03-31,2026-03,0.8128,0.0176,614.5000,1.6089
5,HIGH,2026-03-31,GLOBEX,0,2026-03-31,2026-03,1.6654,-0.2711,614.5000,1.6089
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.5149,-0.5185,597.5000,1.6097
3,HIGH,2026-05-12,RTH,0,2026-05-12,2026-05,1.0801,0.5450,513.7500,1.6101
3,HIGH,2026-05-12,RTH,0,2026-05-12,2026-05,1.4156,-0.3031,513.7500,1.6101
3,HIGH,2026-05-12,RTH,0,2026-05-12,2026-05,1.4579,0.8841,513.7500,1.6101
5,HIGH,2026-05-12,RTH,0,2026-05-12,2026-05,1.0801,0.6312,513.7500,1.6101
5,HIGH,2026-05-12,RTH,0,2026-05-12,2026-05,1.4156,-0.3810,513.7500,1.6101
3,LOW,2026-07-29,GLOBEX,1,2026-07-29,2026-07,-0.0598,-0.5257,704.0000,1.6105
3,LOW,2025-12-17,GLOBEX,0,2025-12-17,2025-12,-0.2886,-0.1002,589.7500,1.6106
3,LOW,2025-12-17,GLOBEX,0,2025-12-17,2025-12,-0.3197,-0.2858,589.7500,1.6106
5,LOW,2025-12-17,GLOBEX,0,2025-12-17,2025-12,-0.3197,-0.2912,589.7500,1.6106
3,HIGH,2026-03-08,GLOBEX,0,2026-03-08,2026-03,3.9061,3.0105,621.0000,1.6106
3,HIGH,2026-03-08,GLOBEX,0,2026-03-08,2026-03,1.4376,1.9841,621.0000,1.6106
5,HIGH,2026-03-08,GLOBEX,0,2026-03-08,2026-03,3.9061,3.5247,621.0000,1.6106
3,HIGH,2026-03-23,RTH,0,2026-04-07,2026-04,-0.0959,0.2847,622.5000,1.6109
3,HIGH,2026-02-05,GLOBEX,0,2026-02-05,2026-02,0.2683,1.8589,561.7500,1.6115
5,HIGH,2026-02-05,GLOBEX,0,2026-02-05,2026-02,0.2683,2.2073,561.7500,1.6115
3,LOW,2025-12-17,GLOBEX,0,2025-12-17,2025-12,-0.1966,-0.2882,590.2500,1.6120
3,LOW,2025-10-23,GLOBEX,0,2025-11-06,2025-11,-0.8492,-0.6244,541.0000,1.6125
3,HIGH,2025-09-29,GLOBEX,0,2025-09-29,2025-09,-0.7144,-0.9161,340.7500,1.6128
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.2577,-0.2003,722.0000,1.6131
5,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.2577,-0.1211,722.0000,1.6131
3,HIGH,2026-02-01,GLOBEX,0,2026-02-01,2026-02,2.2641,1.3350,471.7500,1.6137
5,HIGH,2026-02-01,GLOBEX,0,2026-02-01,2026-02,2.2641,1.6564,471.7500,1.6137
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.3526,-0.3652,599.0000,1.6137
3,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,6.9974,-0.5465,411.2500,1.6141
3,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,0.0164,-0.0451,411.2500,1.6141
5,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,6.9974,-0.1511,411.2500,1.6141
5,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,0.0164,0.0097,411.2500,1.6141
3,LOW,2026-03-20,GLOBEX,0,2026-03-20,2026-03,-0.6225,-0.3397,610.0000,1.6141
5,LOW,2026-03-20,GLOBEX,0,2026-03-20,2026-03,-0.6225,-0.2248,610.0000,1.6141
3,LOW,2025-10-16,RTH,1,2025-10-16,2025-10,-1.0689,-1.0991,430.0000,1.6154
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.3230,-0.6086,599.7500,1.6158
5,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.3230,-0.2177,599.7500,1.6158
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.5798,-0.2081,723.2500,1.6159
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.2041,-0.4074,723.2500,1.6159
5,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.5798,-0.2448,723.2500,1.6159
3,LOW,2026-02-12,GLOBEX,1,2026-02-12,2026-02,-0.7459,0.0968,610.0000,1.6159
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,0.4072,-0.5980,600.0000,1.6164
5,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,0.4072,-0.4963,600.0000,1.6164
3,HIGH,2026-02-05,GLOBEX,1,2026-02-05,2026-02,-0.1845,0.6772,563.5000,1.6165
3,LOW,2026-01-14,GLOBEX,2+,2026-01-14,2026-01,1.7331,-0.1428,412.7500,1.6172
3,LOW,2026-01-14,GLOBEX,2+,2026-01-14,2026-01,3.9953,0.9070,412.7500,1.6172
3,LOW,2026-01-14,GLOBEX,2+,2026-01-14,2026-01,1.6186,-0.1478,412.7500,1.6172
5,LOW,2026-01-14,GLOBEX,2+,2026-01-14,2026-01,1.7331,-0.2711,412.7500,1.6172
