threshold,pivotType,pivotPrice,entryTime,direction,entryPrice,stopPrice,streak,isGlobex,fwd30,fwd60,fwd120,fwd240
2,LOW,25420.75,2026-01-18 19:25:00,SHORT,25386.25,25453.6045,4,true,-54.25,-15.25,-28.75,5.50
2,HIGH,25952.75,2026-01-26 21:45:00,LONG,25959.25,25938.40825,1,true,6.00,8.25,31.50,41.75
2,LOW,25025,2026-02-04 12:30:00,SHORT,24884,25047.35325,2,false,32.00,-19.50,-94.25,-179.50
2,HIGH,26349,2026-04-15 18:05:00,LONG,26369.5,26324.45225,3,true,12.25,21.50,22.25,81.50
2,LOW,25180.25,2026-02-04 11:05:00,SHORT,25066,25276.84675,3,false,-10.50,28.00,183.50,2.25
2,HIGH,26027.75,2026-04-14 21:50:00,LONG,26038,26013.163,3,true,-11.50,-35.75,-16.75,-67.75
2,LOW,24239.75,2026-03-08 19:55:00,SHORT,24215.25,24287.22175,1,true,83.50,114.75,173.50,123.00
2,HIGH,25465.25,2026-04-13 16:00:00,LONG,25541.5,25440.23775,2,false,12.25,29.75,54.50,40.50
2,LOW,24449.25,2026-03-03 10:30:00,SHORT,24405.25,24526.50775,8,false,-35.75,-200.50,-277.25,-358.50
2,HIGH,25494.75,2026-04-13 16:05:00,LONG,25546.75,25461.763,0,false,22.00,39.75,55.25,36.50
2,LOW,24352,2026-03-08 18:15:00,SHORT,24275.25,24481.3375,0,true,-32.50,-2.50,80.00,262.00
2,HIGH,25250,2026-04-09 21:05:00,LONG,25266,25230.39775,12,true,31.50,9.75,14.50,13.25
2,LOW,24000,2026-03-22 20:45:00,SHORT,23984.25,24064.46125,4,true,-22.00,-73.00,-30.00,-1.50
2,HIGH,25217.5,2026-04-08 05:20:00,LONG,25231.25,25175.517,1,true,-17.75,-39.50,-39.75,-27.25
2,LOW,23772.5,2026-03-27 05:10:00,SHORT,23740.75,23812.61725,3,true,-30.50,-5.25,101.00,158.00
2,HIGH,24763,2026-04-07 18:50:00,LONG,24849.75,24634.63275,0,true,140.00,188.00,245.25,258.00
2,HIGH,29480,2026-05-13 14:15:00,LONG,29544.25,29434.96125,7,false,-22.75,-21.00,-29.25,97.00
2,LOW,28742,2026-05-19 10:25:00,SHORT,28711.75,28835.63175,0,false,-31.00,-49.75,-193.50,-330.25
2,HIGH,29773.75,2026-05-24 18:40:00,LONG,29804.25,29669.56625,3,true,19.25,54.00,101.00,101.25
2,LOW,28663,2026-06-09 12:20:00,SHORT,28537.75,28734.393,0,false,198.50,-211.50,-373.25,-554.00
2,HIGH,30807.75,2026-06-16 10:30:00,SHORT,30608.25,30832.92025,14,false,2.75,55.25,95.50,149.50
2,LOW,28781.25,2026-06-09 12:10:00,SHORT,28621.75,28869.65175,0,false,364.25,61.50,-221.50,-501.00
2,HIGH,29848.25,2026-06-23 04:25:00,SHORT,29799.25,29910.22475,1,true,-27.50,-123.75,-37.25,36.50
2,LOW,28227.75,2026-07-27 10:35:00,SHORT,28031,28269.22475,4,false,-159.75,16.50,-99.75,-14.75
2,HIGH,29250,2026-07-08 04:30:00,SHORT,29084.75,29424.04125,11,true,72.25,115.25,82.50,-82.75
2,LOW,28265.75,2026-07-24 15:20:00,SHORT,28229.75,28321.29125,3,false,-6.50,-83.50,-411.25,-371.50
2,LOW,29923,2026-06-23 04:05:00,SHORT,29891.5,29962.976,0,true,40.75,23.50,-4.25,26.50
2,LOW,29160.5,2026-07-08 04:35:00,SHORT,28980.25,29301.1275,0,true,-0.75,-21.00,-71.25,-170.75
2,LOW,28909.75,2026-07-17 00:10:00,SHORT,28850,28951.7425,3,true,59.50,42.25,105.50,171.50
2,HIGH,30077.75,2026-08-13 10:00:00,LONG,30177,29995.38625,3,false,59.75,41.50,-47.50,27.75
