date,session,swing_width,type,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2025-10-10,RTH,3,LOW,6,23.37,-1.6497,-1.7225,-1.6259,-0.1993,-1.2838,-1.9535,-5.0625,1,24975.25,24997.50,24890.67,24822.85,0,0,1,1,0,-22.25,-22.25,-46.50,-46.50
2026-06-19,RTH,3,HIGH,2,0.28,-2.2609,-1.9089,-1.0175,-0.2303,-1.6523,-2.1611,-5.0612,1,30683.75,30682.00,30899.56,31072.63,0,0,1,1,0,-1.75,-1.75,-5.50,-5.50
2026-06-19,RTH,3,HIGH,3,0.42,-2.1986,-1.6980,-1.2837,-0.2301,-1.6147,-1.9263,-5.0547,1,30675.75,30672.75,30891.56,31064.63,0,0,1,1,0,-3.00,-3.00,-8.00,-8.00
2026-07-03,RTH,3,LOW,3,0.17,-1.6855,-1.9548,-1.2837,-0.2305,-1.3054,-2.2123,-5.0317,1,29901.50,29902.00,29631.64,29415.24,0,0,1,1,0,-0.50,-0.50,-3.00,-3.00
2026-07-05,RTH,3,HIGH,6,0.15,-1.6978,-1.6330,-1.6259,-0.2305,-1.3128,-1.8539,-5.0231,1,29932.75,29925.00,30180.76,30379.64,0,0,1,1,0,-7.75,-7.75,-17.50,-17.50
2026-05-25,RTH,3,HIGH,3,0.62,-2.1679,-1.6855,-1.2837,-0.2298,-1.5962,-1.9124,-5.0221,1,29944.00,29941.00,30094.27,30214.77,0,0,1,1,0,-3.00,-3.00,-8.00,-8.00
2026-05-25,RTH,3,HIGH,4,0.15,-1.8931,-1.6853,-1.4434,-0.2305,-1.4305,-1.9122,-5.0165,1,29958.25,29952.25,30108.52,30229.02,0,0,1,1,0,-6.00,-6.00,-14.00,-14.00
2026-07-03,RTH,3,LOW,3,0.65,-1.7796,-1.8858,-1.2837,-0.2298,-1.3621,-2.1355,-5.0110,1,29890.00,29895.25,29620.14,29403.74,0,0,1,1,0,-5.25,-5.25,-12.50,-12.50
2026-07-03,RTH,5,LOW,3,0.38,-1.6855,-1.9340,-1.2837,-0.2302,-1.3054,-2.1891,-5.0083,1,29901.50,29902.00,29631.64,29415.24,0,0,1,1,0,-0.50,-0.50,-3.00,-3.00
2026-07-05,RTH,5,HIGH,7,0.30,-1.2885,-1.7892,-1.6829,-0.2303,-1.0660,-2.0279,-5.0071,1,29932.75,29929.00,30180.76,30379.64,0,0,1,1,0,-3.75,-3.75,-9.50,-9.50
2026-05-25,RTH,5,HIGH,3,0.65,-2.1679,-1.6581,-1.2837,-0.2298,-1.5962,-1.8818,-4.9915,1,29944.00,29941.00,30094.27,30214.77,0,0,1,1,0,-3.00,-3.00,-8.00,-8.00
2026-07-03,RTH,5,LOW,4,0.82,-1.8365,-1.6851,-1.4434,-0.2296,-1.3964,-1.9119,-4.9813,1,29901.50,29904.00,29631.64,29415.24,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-07-05,RTH,3,HIGH,7,0.18,-1.2885,-1.7596,-1.6829,-0.2304,-1.0660,-1.9949,-4.9743,1,29932.75,29929.00,30180.76,30379.64,0,0,1,1,0,-3.75,-3.75,-9.50,-9.50
2026-09-07,RTH,3,HIGH,1,0.20,-2.5383,-2.1509,-0.4851,-0.2304,-1.8195,-2.4308,-4.9658,1,29624.50,29613.75,29737.49,29828.10,0,0,1,1,0,-10.75,-10.75,-23.50,-23.50
2026-07-03,RTH,3,LOW,4,0.78,-1.8365,-1.6542,-1.4434,-0.2296,-1.3964,-1.8775,-4.9469,1,29901.50,29904.00,29631.64,29415.24,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2025-10-10,RTH,5,LOW,6,23.48,-1.6497,-1.6134,-1.6259,-0.1991,-1.2838,-1.8320,-4.9408,1,24975.25,24997.50,24890.67,24822.85,0,0,1,1,0,-22.25,-22.25,-46.50,-46.50
2026-06-19,RTH,3,LOW,2,0.28,-1.9197,-1.9637,-1.0175,-0.2303,-1.4466,-2.2223,-4.9166,1,30659.75,30660.00,30443.94,30270.87,0,0,1,1,0,-0.25,-0.25,-2.50,-2.50
2026-05-25,RTH,5,HIGH,3,6.55,-1.9365,-1.7134,-1.2837,-0.2219,-1.4567,-1.9434,-4.9057,1,29958.25,29940.50,30108.52,30229.02,0,0,1,1,0,-17.75,-17.75,-37.50,-37.50
2026-07-05,RTH,3,LOW,3,0.13,-2.0027,-1.6685,-1.2837,-0.2305,-1.4966,-1.8934,-4.9041,1,29889.00,29890.50,29640.99,29442.11,0,0,1,1,0,-1.50,-1.50,-5.00,-5.00
2026-09-07,RTH,3,LOW,2,0.13,-2.2266,-1.7839,-1.0175,-0.2305,-1.6316,-2.0220,-4.9015,1,29576.75,29577.25,29463.76,29373.15,0,0,1,1,0,-0.50,-0.50,-3.00,-3.00
2026-02-16,RTH,3,HIGH,4,65.62,-1.8519,-1.6799,-1.4434,-0.1425,-1.4057,-1.9062,-4.8978,1,24800.00,24797.50,24966.88,25100.70,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-09-07,RTH,3,HIGH,4,2.58,-1.7155,-1.6642,-1.4434,-0.2272,-1.3235,-1.8887,-4.8827,1,29594.00,29592.75,29706.99,29797.60,0,0,1,1,0,-1.25,-1.25,-4.50,-4.50
2026-09-07,RTH,5,HIGH,1,7.80,-2.0125,-2.3700,-0.4851,-0.2202,-1.5025,-2.6747,-4.8826,1,29634.75,29631.50,29747.74,29838.35,0,0,1,1,0,-3.25,-3.25,-8.50,-8.50
2026-09-07,RTH,5,LOW,2,11.32,-1.6475,-2.0926,-1.0175,-0.2155,-1.2825,-2.3658,-4.8812,1,29585.25,29589.25,29472.26,29381.65,0,0,1,1,0,-4.00,-4.00,-10.00,-10.00
2026-02-16,RTH,5,HIGH,4,65.90,-1.8519,-1.6620,-1.4434,-0.1422,-1.4057,-1.8861,-4.8774,1,24800.00,24797.50,24966.88,25100.70,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
2026-07-05,RTH,5,LOW,2,0.18,-1.8403,-1.9644,-1.0175,-0.2304,-1.3987,-2.2230,-4.8696,1,29886.00,29888.50,29637.99,29439.11,0,0,1,1,0,-2.50,-2.50,-7.00,-7.00
